rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
30,35,80,45,ON,50,6,100.0,14000,6207.139877131646,44.33671340808319,5
35,45,75,50,ON,50,11,100.0,26000,6197.0204832490945,23.834694166342672,4
30,35,80,40,OFF,40,7,100.0,16000,6176.90098864545,38.60563117903406,5
30,35,80,40,OFF,50,7,100.0,16000,6176.90098864545,38.60563117903406,5
35,45,70,50,ON,40,12,100.0,26000,6158.1353979529185,23.685136145972763,5
35,40,75,55,ON,40,12,100.0,32000,6116.133262617638,19.11291644568012,5
30,40,80,50,OFF,50,7,100.0,14000,6094.615560031823,43.5329682859416,5
30,40,80,50,OFF,40,7,100.0,14000,6094.615560031823,43.5329682859416,5
35,45,75,55,OFF,50,13,100.0,30000,6091.457110718609,20.3048570357287,5
35,45,75,55,OFF,40,13,100.0,30000,6091.457110718609,20.3048570357287,5
35,45,70,45,OFF,40,16,100.0,30000,6083.903474411093,20.279678248036976,5
35,45,70,45,OFF,50,16,100.0,30000,6083.903474411093,20.279678248036976,5
40,45,65,55,OFF,50,24,100.0,55000,6068.862439765184,11.034295345027607,6
40,45,65,55,OFF,40,24,100.0,55000,6068.862439765184,11.034295345027607,6
40,45,65,50,ON,40,19,100.0,43000,6061.90362881558,14.097450299571118,5
30,40,80,45,OFF,50,7,100.0,14000,6021.663479248499,43.01188199463214,5
30,40,80,45,OFF,40,7,100.0,14000,6021.663479248499,43.01188199463214,5
35,45,70,45,ON,40,12,100.0,26000,6004.0796747020295,23.092614133469343,5
35,45,70,45,ON,50,12,100.0,26000,5929.177962354841,22.804530624441696,5
30,45,80,45,OFF,50,7,100.0,13000,5892.639688898911,45.3279976069147,5
30,45,80,45,OFF,40,7,100.0,13000,5892.639688898911,45.3279976069147,5
30,45,80,50,OFF,40,7,100.0,13000,5881.456182208838,45.241970632375676,5
30,45,80,50,OFF,50,7,100.0,13000,5881.456182208838,45.241970632375676,5
35,40,70,55,OFF,50,16,100.0,37000,5835.759153683091,15.772322036981329,6
35,40,70,55,OFF,40,16,100.0,37000,5835.759153683091,15.772322036981329,6
30,35,80,40,ON,40,6,100.0,14000,5795.449734310042,41.396069530786015,5
40,45,70,55,ON,50,16,100.0,42000,5721.875656061324,13.623513466812675,7
30,35,80,40,ON,50,6,100.0,14000,5691.742381157599,40.65530272255428,5
35,45,75,40,ON,40,9,100.0,23000,5670.070930811002,24.65248230787392,5
35,45,75,55,ON,40,10,100.0,26000,5604.714188427726,21.55659303241433,5
35,45,75,40,ON,50,9,100.0,23000,5589.485007985485,24.302108730371675,5
30,40,80,55,OFF,50,7,100.0,14000,5551.157282905982,39.651123449328445,5
30,40,80,55,OFF,40,7,100.0,14000,5551.157282905982,39.651123449328445,5
30,40,80,40,OFF,40,7,100.0,14000,5549.425863058155,39.638756164701114,5
30,40,80,40,OFF,50,7,100.0,14000,5549.425863058155,39.638756164701114,5
35,45,75,40,OFF,50,12,100.0,27000,5510.001599773209,20.407413332493366,5
35,45,75,40,OFF,40,12,100.0,27000,5510.001599773209,20.407413332493366,5
35,45,70,50,OFF,50,16,100.0,30000,5477.751700128428,18.259172333761427,5
35,45,70,50,OFF,40,16,100.0,30000,5477.751700128428,18.259172333761427,5
30,35,75,45,ON,40,8,100.0,17000,5467.775556398907,32.163385625875925,3
30,40,80,45,ON,50,6,100.0,13000,5450.172378656156,41.92440291273966,5
30,45,80,40,OFF,40,7,100.0,13000,5421.960046999564,41.70738497691972,5
30,45,80,40,OFF,50,7,100.0,13000,5421.960046999564,41.70738497691972,5
35,45,65,45,ON,40,14,100.0,26000,5401.495180142383,20.77498146208609,3
30,35,75,45,ON,50,8,100.0,17000,5387.334992260066,31.69020583682392,3
35,45,70,50,ON,50,13,100.0,26000,5368.640820282731,20.648618539548963,4
30,35,75,50,OFF,50,10,100.0,19000,5337.4377360289745,28.09177755804723,3
30,35,75,50,OFF,40,10,100.0,19000,5337.4377360289745,28.09177755804723,3
35,40,65,45,ON,50,15,100.0,33000,5337.087797732849,16.172993326463178,4
30,45,80,55,OFF,50,7,100.0,13000,5335.358761286714,41.04122124066703,5
30,45,80,55,OFF,40,7,100.0,13000,5335.358761286714,41.04122124066703,5
35,40,65,40,OFF,40,15,100.0,33000,5296.7154638382635,16.050652920722012,6
35,40,65,40,OFF,50,15,100.0,33000,5296.7154638382635,16.050652920722012,6
30,35,80,50,ON,40,7,100.0,14000,5256.205722942603,37.54432659244716,5
35,40,65,50,OFF,40,18,100.0,37000,5239.385835332986,14.160502257656718,4
35,40,65,50,OFF,50,18,100.0,37000,5239.385835332986,14.160502257656718,4
40,45,65,50,ON,50,20,100.0,42000,5233.928741776053,12.461735099466793,5
35,40,65,45,ON,40,15,100.0,32000,5203.968189795861,16.262400593112066,4
35,45,65,45,OFF,50,18,100.0,30000,5191.713258329456,17.305710861098188,3
35,45,65,45,OFF,40,18,100.0,30000,5191.713258329456,17.305710861098188,3
30,35,80,50,ON,50,7,100.0,14000,5160.257084046862,36.858979171763295,5
30,35,75,45,OFF,40,10,100.0,19000,5065.804658891966,26.662129783641923,3
30,35,75,45,OFF,50,10,100.0,19000,5065.804658891966,26.662129783641923,3
35,45,70,40,ON,40,11,100.0,23000,5052.302781099267,21.96653383086638,5
30,40,80,40,ON,50,6,100.0,13000,5034.873468739448,38.72979591338037,5
35,40,65,50,ON,50,16,100.0,33000,5023.491556308719,15.222701685783996,4
35,45,65,45,ON,50,15,100.0,26000,5020.021300925278,19.307774234327994,3
30,40,80,45,ON,40,6,100.0,12000,4992.634885275656,41.60529071063047,4
35,45,70,40,ON,50,11,100.0,23000,4971.7168582737495,21.61616025336413,5
35,45,65,40,ON,40,12,100.0,23000,4966.977213516967,21.595553102247685,5
35,40,70,55,ON,40,14,100.0,32000,4962.995965963737,15.509362393636678,5
30,35,70,45,ON,40,9,100.0,17000,4942.941281680085,29.07612518635344,3
35,45,65,40,ON,50,12,100.0,23000,4886.391290691449,21.24517952474543,5
35,45,70,55,ON,40,12,100.0,26000,4882.256556075454,18.77790983105944,5
30,35,70,45,ON,50,9,100.0,17000,4862.500717541245,28.60294539730144,3
30,35,75,55,OFF,40,10,100.0,19000,4836.663940068232,25.456126000359113,3
30,35,75,55,OFF,50,10,100.0,19000,4836.663940068232,25.456126000359113,3
35,40,65,50,ON,40,16,100.0,32000,4833.125956556303,15.103518614238448,4
35,45,70,40,OFF,50,15,100.0,27000,4824.9740085234525,17.870274105642416,5
35,45,70,40,OFF,40,15,100.0,27000,4824.9740085234525,17.870274105642416,5
35,45,75,55,ON,50,11,100.0,26000,4785.573762844343,18.406052934016703,4
35,40,70,55,ON,50,15,100.0,33000,4781.85725258995,14.490476522999849,5
35,40,65,55,OFF,50,18,100.0,37000,4719.8583906098775,12.756374028675344,4
35,40,65,55,OFF,40,18,100.0,37000,4719.8583906098775,12.756374028675344,4
30,35,80,55,ON,40,7,100.0,14000,4711.96354808428,33.656882486316285,5
30,40,75,45,ON,50,8,100.0,16000,4682.640834700261,29.26650521687663,3
30,35,80,55,ON,50,7,100.0,14000,4615.804895365786,32.97003496689847,5
30,40,75,45,ON,40,8,100.0,15000,4610.975236158076,30.739834907720503,3
30,40,80,40,ON,40,6,100.0,12000,4610.246647262978,38.418722060524814,4
30,35,70,45,OFF,40,12,100.0,19000,4554.453330055772,23.97080700029354,3
30,35,70,45,OFF,50,12,100.0,19000,4554.453330055772,23.97080700029354,3
30,35,75,40,ON,40,7,100.0,14000,4545.164341114973,32.465459579392665,3
30,40,75,50,OFF,50,10,100.0,17000,4537.635333246525,26.691972548508968,3
30,40,75,50,OFF,40,10,100.0,17000,4537.635333246525,26.691972548508968,3
35,45,70,55,OFF,40,16,100.0,30000,4477.068148916637,14.923560496388792,5
35,45,70,55,OFF,50,16,100.0,30000,4477.068148916637,14.923560496388792,5
30,35,75,40,ON,50,7,100.0,14000,4459.039566497804,31.850282617841458,3
30,40,80,50,ON,50,7,100.0,13000,4414.878136295767,33.96060104842898,5
30,40,75,45,OFF,40,10,100.0,17000,4363.119067189875,25.6654062775875,3
30,40,75,45,OFF,50,10,100.0,17000,4363.119067189875,25.6654062775875,3
30,40,70,45,ON,50,9,100.0,16000,4355.0522686462955,27.219076679039343,3
30,45,80,50,ON,40,6,100.0,11000,4328.76012951041,39.35236481373099,4
30,35,75,50,ON,40,9,100.0,17000,4301.398885374331,25.30234638455489,3
35,40,65,40,ON,50,13,100.0,29000,4301.146322885707,14.831539044433473,5
30,40,70,45,ON,40,9,100.0,15000,4283.3866701041115,28.55591113402741,3
30,45,80,45,ON,40,6,100.0,11000,4266.05441274335,38.78231284312137,4
40,45,65,55,ON,40,19,100.0,43000,4240.337016582804,9.861248875773962,5
30,45,75,50,OFF,50,10,100.0,16000,4238.511463240332,26.490696645252076,3
30,45,75,50,OFF,40,10,100.0,16000,4238.511463240332,26.490696645252076,3
30,35,75,50,ON,50,9,100.0,17000,4227.512862751337,24.867722722066688,3
35,45,65,50,OFF,40,18,100.0,30000,4217.609136530275,14.058697121767583,3
35,45,65,50,OFF,50,18,100.0,30000,4217.609136530275,14.058697121767583,3
40,45,65,55,ON,50,20,100.0,42000,4197.286968796882,9.993540401897338,5
35,40,65,40,ON,40,13,100.0,28000,4173.710925427046,14.906110447953736,5
30,35,70,40,ON,40,8,100.0,14000,4159.932323901967,29.713802313585475,3
35,45,65,40,OFF,50,16,100.0,27000,4158.803682811661,15.402976603006152,5
35,45,65,40,OFF,40,16,100.0,27000,4158.803682811661,15.402976603006152,5
30,45,75,45,OFF,40,10,100.0,16000,4138.377743984674,25.864860899904212,3
30,45,75,45,OFF,50,10,100.0,16000,4138.377743984674,25.864860899904212,3
30,45,80,50,ON,50,6,100.0,11000,4105.477153940148,37.32251958127407,4
30,35,70,40,ON,50,8,100.0,14000,4073.807549284798,29.09862535203427,3
30,40,70,45,OFF,40,12,100.0,17000,4049.013447018539,23.81772615893258,3
30,40,70,45,OFF,50,12,100.0,17000,4049.013447018539,23.81772615893258,3
30,45,80,45,ON,50,6,100.0,11000,4045.5422149732267,36.7776564997566,4
30,40,75,55,OFF,50,10,100.0,17000,4012.6015021954568,23.60353824820857,3
30,40,75,55,OFF,40,10,100.0,17000,4012.6015021954568,23.60353824820857,3
30,35,75,40,OFF,50,9,100.0,16000,3947.084601173831,24.669278757336443,3
30,35,75,40,OFF,40,9,100.0,16000,3947.084601173831,24.669278757336443,3
30,40,80,50,ON,40,7,100.0,12000,3937.3232942671457,32.81102745222621,4
30,45,80,40,ON,40,6,100.0,11000,3885.0455856167864,35.31859623287988,4
30,40,80,55,ON,50,7,100.0,13000,3860.6037304190068,29.6969517724539,5
35,45,70,55,ON,50,13,100.0,26000,3855.6374077518376,14.829374645199374,4
35,40,65,55,ON,40,16,100.0,32000,3847.095202890523,12.022172509032885,4
30,40,75,40,ON,50,7,100.0,13000,3846.860609195601,29.591235455350773,3
30,35,70,50,OFF,40,12,100.0,19000,3842.5210406759425,20.223794950926013,3
30,35,70,50,OFF,50,12,100.0,19000,3842.5210406759425,20.223794950926013,3
35,45,65,50,ON,40,15,100.0,26000,3827.714034795856,14.72197705690714,3
30,45,70,45,OFF,50,12,100.0,16000,3826.7858497253287,23.917411560783304,3
30,45,70,45,OFF,40,12,100.0,16000,3826.7858497253287,23.917411560783304,3
30,45,75,45,ON,40,8,100.0,14000,3815.081747001786,27.25058390715561,3
30,40,75,40,ON,40,7,100.0,12000,3780.8792211317445,31.507326842764538,3
30,35,75,55,ON,40,9,100.0,17000,3776.4834921677234,22.214608777457194,3
30,45,75,50,ON,40,8,100.0,14000,3715.0910616260885,26.53636472590063,3
30,45,75,55,OFF,50,10,100.0,16000,3710.6561181891107,23.19160073868194,3
30,45,75,55,OFF,40,10,100.0,16000,3710.6561181891107,23.19160073868194,3
