rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
35,45,70,55,OFF,40,10,100.0,25000,3810.339426027098,15.24135770410839,7
35,45,70,55,OFF,50,10,100.0,25000,3810.339426027098,15.24135770410839,7
35,45,75,55,ON,50,9,100.0,18000,3774.046497276929,20.96692498487183,3
35,45,75,55,ON,40,9,100.0,17000,3729.758048353817,21.939753225610687,3
35,45,70,40,ON,50,10,100.0,18000,3689.2663848517705,20.495924360287614,3
35,45,70,40,ON,40,10,100.0,17000,3657.2590252998975,21.513288384117043,3
35,40,65,45,ON,40,12,100.0,21000,3579.2519928791735,17.044057108948447,3
35,45,65,40,ON,50,11,100.0,18000,3545.6464674103245,19.698035930057358,3
35,40,65,40,ON,40,12,100.0,21000,3536.620579610854,16.841050379099304,3
35,45,65,50,OFF,50,12,100.0,25000,3519.900094577684,14.079600378310737,7
35,45,65,50,OFF,40,12,100.0,25000,3519.900094577684,14.079600378310737,7
35,45,65,40,ON,40,11,100.0,17000,3513.6391078584516,20.668465340343833,3
35,40,65,45,ON,50,12,100.0,21000,3489.2028163798004,16.615251506570477,3
35,45,70,45,ON,50,10,100.0,18000,3474.843584765395,19.304686582029973,3
35,40,65,50,ON,40,12,100.0,21000,3457.4781660793087,16.464181743234803,3
35,40,65,55,OFF,50,12,100.0,29000,3456.630395376098,11.919415156469304,8
35,40,65,55,OFF,40,12,100.0,29000,3456.630395376098,11.919415156469304,8
35,40,65,40,ON,50,12,100.0,21000,3439.227867371268,16.3772755589108,3
35,40,70,55,ON,40,11,100.0,21000,3432.7646936754595,16.346498541311714,3
35,40,70,55,ON,50,11,100.0,21000,3421.273181512639,16.29177705482209,3
35,45,70,45,ON,40,10,100.0,17000,3403.8994298418115,20.02293782259889,3
35,40,65,50,ON,50,12,100.0,21000,3366.3084067426635,16.03004003210792,3
40,45,65,55,ON,50,20,100.0,40000,3324.290180159203,8.310725450398007,5
40,45,65,55,ON,40,20,100.0,39000,3278.0640699498244,8.405292487050833,4
35,45,70,50,ON,50,10,100.0,18000,3210.5717607883653,17.836509782157584,3
30,35,75,50,OFF,50,7,100.0,10000,3170.4493332431084,31.704493332431085,2
30,35,75,50,OFF,40,7,100.0,10000,3170.4493332431084,31.704493332431085,2
